player_id,web_name,team,position,gw,horizon_index,was_home,opponent_team_id,fixture_difficulty,forecast_points
61,Truffert,Bournemouth,DEF,5,3,1,14,4.0,3.209
61,Truffert,Bournemouth,DEF,6,4,0,6,4.0,3.141
61,Truffert,Bournemouth,DEF,7,5,1,20,2.0,4.549
62,Diakité,Bournemouth,DEF,3,1,0,17,3.0,0.676
62,Diakité,Bournemouth,DEF,4,2,1,4,3.0,0.756
62,Diakité,Bournemouth,DEF,5,3,1,14,4.0,0.888
62,Diakité,Bournemouth,DEF,6,4,0,6,4.0,0.687
62,Diakité,Bournemouth,DEF,7,5,1,20,2.0,0.696
63,Milosavljević,Bournemouth,DEF,3,1,0,17,3.0,0.0
63,Milosavljević,Bournemouth,DEF,4,2,1,4,3.0,0.0
63,Milosavljević,Bournemouth,DEF,5,3,1,14,4.0,0.0
63,Milosavljević,Bournemouth,DEF,6,4,0,6,4.0,0.0
63,Milosavljević,Bournemouth,DEF,7,5,1,20,2.0,0.0
64,Smith,Bournemouth,DEF,3,1,0,17,3.0,1.643
64,Smith,Bournemouth,DEF,4,2,1,4,3.0,1.528
64,Smith,Bournemouth,DEF,5,3,1,14,4.0,1.799
64,Smith,Bournemouth,DEF,6,4,0,6,4.0,1.931
64,Smith,Bournemouth,DEF,7,5,1,20,2.0,1.605
65,J.Araujo,Bournemouth,DEF,3,1,0,17,3.0,0.0
65,J.Araujo,Bournemouth,DEF,4,2,1,4,3.0,0.0
65,J.Araujo,Bournemouth,DEF,5,3,1,14,4.0,0.0
65,J.Araujo,Bournemouth,DEF,6,4,0,6,4.0,0.0
65,J.Araujo,Bournemouth,DEF,7,5,1,20,2.0,0.0
66,Soler,Bournemouth,DEF,3,1,0,17,3.0,0.044
66,Soler,Bournemouth,DEF,4,2,1,4,3.0,0.024
66,Soler,Bournemouth,DEF,5,3,1,14,4.0,0.021
66,Soler,Bournemouth,DEF,6,4,0,6,4.0,0.036
66,Soler,Bournemouth,DEF,7,5,1,20,2.0,0.022
67,Rayan,Bournemouth,MID,3,1,0,17,3.0,3.281
67,Rayan,Bournemouth,MID,4,2,1,4,3.0,3.253
67,Rayan,Bournemouth,MID,5,3,1,14,4.0,3.633
67,Rayan,Bournemouth,MID,6,4,0,6,4.0,3.597
67,Rayan,Bournemouth,MID,7,5,1,20,2.0,3.989
68,Tavernier,Bournemouth,MID,3,1,0,17,3.0,3.91
68,Tavernier,Bournemouth,MID,4,2,1,4,3.0,4.032
68,Tavernier,Bournemouth,MID,5,3,1,14,4.0,2.863
68,Tavernier,Bournemouth,MID,6,4,0,6,4.0,2.817
68,Tavernier,Bournemouth,MID,7,5,1,20,2.0,3.894
69,Scott,Bournemouth,MID,3,1,0,17,3.0,3.699
69,Scott,Bournemouth,MID,4,2,1,4,3.0,3.791
69,Scott,Bournemouth,MID,5,3,1,14,4.0,2.28
69,Scott,Bournemouth,MID,6,4,0,6,4.0,2.213
69,Scott,Bournemouth,MID,7,5,1,20,2.0,3.802
70,Kluivert,Bournemouth,MID,3,1,0,17,3.0,3.331
70,Kluivert,Bournemouth,MID,4,2,1,4,3.0,3.356
70,Kluivert,Bournemouth,MID,5,3,1,14,4.0,2.091
